gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Vit,143.365240601395,-2.26497920758128,0.181106016176887,4.74489503187879e-37,9.7744837656703e-33
Zfp641,362.159119864969,1.57167892888812,0.1397934615435,1.38719167733857e-30,1.42880742765873e-26
Cfap54,199.191436639839,-1.3546931764636,0.15537526215668,1.30354784206884e-19,8.95102851553933e-16
Prex1,1193.76011939992,-1.01471145188698,0.139929482900656,1.88622113972835e-14,7.77123109568079e-11
Ntn4,202.612828119587,-1.79533212578324,0.246662995403523,1.56774689046361e-14,7.77123109568079e-11
Gm17167,63.9378278470932,-7.7532958537294,0.982725100199468,2.44154394002832e-14,8.38263419409725e-11
Rnf152,167.920605417051,2.18461415446935,0.31400556498916,1.61314661849082e-13,4.74726004870156e-10
Gm47578,32.02861213735,5.16981296657773,0.736746517871351,8.75121079960706e-13,2.25343678089882e-09
Olfr287,32.2151776403446,2.9462257831342,0.449194971947832,4.82391904183977e-12,1.10414146957666e-08
Gm42743,29.894288047133,-6.09027381570986,0.886875582624851,6.14403796620111e-12,1.15061074639766e-08
Gm16251,26.785469886663,3.09695350182844,0.470055551069674,5.6278613479944e-12,1.15061074639766e-08
1700027A15Rik,35.0049698163014,-3.21977939787258,0.505782122072006,1.30767249986555e-11,1.91704166232856e-08
Smg9,83.7381793487851,-1.33918387856772,0.212350806446381,1.21220725532275e-11,1.91704166232856e-08
Tmem117,1328.7727821337,-0.92310026465578,0.146610863417845,1.17802021701059e-11,1.91704166232856e-08
Gm49980,20.9120302174372,-4.70751364995086,0.7301706733511,1.39590412305478e-11,1.91704166232856e-08
Pvr,39.6627981151661,2.17685982589823,0.345551602670293,1.94303260882585e-11,2.50165448386328e-08
Ccdc61,84.2809954148872,-1.33886105315414,0.220195093527646,5.7043042419637e-11,6.9122745520266e-08
Gm20110,34.7266252557703,6.61530425385003,1.01441547617506,1.45041539412722e-10,1.6599198399456e-07
AC149090.1,1876.27283918393,-1.90802777844268,0.334164578468335,5.35523138627831e-10,5.80619823985964e-07
Plscr2,90.5070645720276,1.04227304200544,0.192717310656077,3.02212165844626e-09,3.11278530819965e-06
Mpped1,152.519446077366,-0.919307919230951,0.17829646424702,1.06497920450602e-08,1.04469388632495e-05
Oser1,95.4677308374703,0.998787498480435,0.197493568209707,1.87146018932981e-08,1.75215249195922e-05
Zfp943,169.170117041537,-0.926477376182403,0.183541483704011,1.95628676286709e-08,1.75215249195922e-05
Kbtbd11,157.6305107102,-1.25146353427031,0.249934085233193,2.41595363850504e-08,2.07369353971683e-05
Gm7967,280.621790207953,-1.22952004823048,0.249054334682561,3.25150046897533e-08,2.67923638643567e-05
A930015D03Rik,327.916872057119,-1.12365064975331,0.228271766257029,3.57872236545918e-08,2.83544925878689e-05
