gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,47.8660777238995,1.48940102695948e-06,0.00144269111105699,0.407243016816053,0.994467616137675
Gm1992,1.4104169732923,-9.66879876509747e-08,0.00144269429977035,0.898624590873393,0.994467616137675
Gm19938,2.8420103024459,-5.43983443234148e-07,0.00144269417745725,0.503574745854667,0.994467616137675
Gm37381,0,NA,NA,NA,NA
Rp1,2.15738264915638,-4.06012118308917e-07,0.00144269376028987,0.668341177184755,0.994467616137675
Sox17,24.199519349265,-3.37223220880005e-07,0.00144268841266915,0.31946803802893,0.994467616137675
Gm37323,0.10002538884953,-2.02955907196899e-08,0.00144269503091794,0.895166057883522,0.994467616137675
Mrpl15,2.0468781663373,1.45470930150291e-06,0.00144269449863117,0.087734814758572,0.994467616137675
Lypla1,8.48728361013839,-1.1590878992394e-06,0.00144269134246956,0.487393144886238,0.994467616137675
Tcea1,14.0578059406738,2.92450720010031e-06,0.00144269039110302,0.167919412621885,0.994467616137675
Rgs20,8.07262230706276,1.54889960414526e-06,0.00144269406046484,0.143170120348263,0.994467616137675
Gm16041,0.0505052567339825,3.7702408480214e-07,0.001442695025634,0.932403357803564,0.994467616137675
Atp6v1h,16.5104190091487,4.38407595243667e-07,0.00144268822415937,0.847002674729911,0.994467616137675
Oprk1,0.330147083515141,-2.95031395907589e-07,0.00144269498090503,0.444119789854364,0.994467616137675
Npbwr1,0,NA,NA,NA,NA
Rb1cc1,29.7802781730883,1.80724865581107e-06,0.00144268468016044,0.519771309222927,0.994467616137675
4732440D04Rik,4.40620653459736,1.53367999393233e-06,0.00144269378651064,0.154539477683037,0.994467616137675
Alkal1,0,NA,NA,NA,NA
St18,29.6388139357377,1.1873445891313e-06,0.00144269287514493,0.377164374687062,0.994467616137675
Pcmtd1,66.2270382126113,2.20980807607525e-06,0.00144268051491081,0.511559599834395,0.994467616137675
Gm26901,0.822060250192938,2.14080939772642e-07,0.00144269467835741,0.709136816264278,0.994467616137675
Gm30414,0,NA,NA,NA,NA
Sntg1,53.9958459075935,2.74319673783776e-07,0.00144269405806559,0.752520779933684,0.994467616137675
Rrs1,0.63933946396622,-5.01055347318902e-07,0.00144269489860745,0.291211894109432,0.994467616137675
Adhfe1,0.731623574265195,2.95659323558561e-07,0.00144269479942584,0.587121268398925,0.994467616137675
2610203C22Rik,0.0502631594295391,-4.33218484086478e-08,0.00144269503275478,0.895167734391066,0.994467616137675
Vxn,0.119099948386124,-1.32113333485942e-07,0.00144269501418861,0.689244821475498,0.994467616137675
Mybl1,1.23121290919029,-2.70246071881196e-07,0.00144269444638781,0.686715969011975,0.994467616137675
Vcpip1,6.88540075691255,1.6099899612749e-06,0.00144269186194121,0.31751773199584,0.994467616137675
1700034P13Rik,0.232461647720876,-2.23351930964566e-08,0.00144269502995782,0.884784573879668,0.994467616137675
Sgk3,13.5712186410537,2.61032214522135e-06,0.00144269117020767,0.93748740580272,0.994467616137675
Mcmdc2,0.721921135598717,-2.27937780040623e-07,0.00144269474068332,0.632841690234743,0.994467616137675
Snhg6,0.882891976255889,4.62985911520383e-08,0.00144269478809104,0.939600689873272,0.994467616137675
Tcf24,0,NA,NA,NA,NA
Ppp1r42,0,NA,NA,NA,NA
Gm15818,0,NA,NA,NA,NA
