gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,316.461426568286,1.03823947296867e-06,0.001442672507609,0.799425238962341,0.997557484956807
Gm1992,12.2349201105499,1.95911240194949e-06,0.00144269037215207,0.322967598438675,0.997557484956807
Gm19938,15.7591192607471,9.06610311779053e-07,0.0014426906563396,0.616722607144368,0.997557484956807
Gm37381,0,NA,NA,NA,NA
Rp1,1.417040132164,-2.23854022152511e-07,0.00144269465212976,0.672417595003633,0.997557484956807
Sox17,0,NA,NA,NA,NA
Gm37323,0,NA,NA,NA,NA
Mrpl15,7.77985908843047,-1.29927435689692e-06,0.00144269213062213,0.398283312050835,0.997557484956807
Lypla1,21.7859894560839,1.70196272659419e-06,0.00144268731058299,0.484542272790047,0.997557484956807
Tcea1,39.2555311404577,-3.47728491313065e-06,0.00144268069434366,0.315255677961671,0.997557484956807
Rgs20,24.4764969838488,4.76799208676933e-06,0.00144269185765171,0.038638276551493,0.997557484956807
Gm16041,0.0482883356293765,1.17675738275907e-07,0.00144269500400136,0.804861582429906,0.997557484956807
Atp6v1h,55.8387656067677,2.08900035047065e-06,0.0014426767973356,0.574688167951034,0.997557484956807
Oprk1,3.55248627481969,2.4551929959671e-06,0.00144269451836163,0.0229121438873192,0.997557484956807
Npbwr1,0,NA,NA,NA,NA
Rb1cc1,93.7214835385791,7.85719245938648e-07,0.00144266775213916,0.860918443115475,0.997557484956807
4732440D04Rik,10.9265076556543,-1.04722847182912e-07,0.00144269114283693,0.948665159308412,0.997557484956807
Alkal1,0.173172479121239,1.3176733195803e-07,0.00144269500555933,0.725290202738682,0.997557484956807
St18,30.1663240963599,-1.40837346690131e-06,0.00144269365126246,0.222767110011246,0.997557484956807
Pcmtd1,81.9661269172701,3.17867895880003e-06,0.00144267346879292,0.441267975118661,0.997557484956807
Gm26901,2.98454713186407,4.69965059257524e-07,0.00144269415357126,0.554820504681534,0.997557484956807
Gm30414,0,NA,NA,NA,NA
Sntg1,220.230801500127,-4.19683878277733e-07,0.00144267792204791,0.903836625026968,0.997557484956807
Rrs1,2.22429418117356,-7.01838782782223e-07,0.00144269435503196,0.325033150810414,0.997557484956807
Adhfe1,7.10340774693033,2.22738331532684e-06,0.00144269254792773,0.159601107238773,0.997557484956807
2610203C22Rik,1.43458756892652,-1.79779689724515e-07,0.00144269460870169,0.805908368247044,0.997557484956807
Vxn,1.07411966422764,2.33997196328053e-07,0.0014426945883855,0.952900577816193,0.997557484956807
Mybl1,1.16453158513539,-1.67286897116497e-07,0.001442694629628,0.537782142193161,0.997557484956807
Vcpip1,18.544637224636,2.90748840747403e-06,0.001442687785897,0.123686213526845,0.997557484956807
1700034P13Rik,0.167355357547951,-1.15395101470057e-07,0.00144269501055229,0.804692306756046,0.997557484956807
Sgk3,65.2379308077187,6.56374913064843e-06,0.00144268985216395,0.625462713960576,0.997557484956807
Mcmdc2,2.81151390411865,1.19745441012521e-06,0.00144269389755332,0.250743963322957,0.997557484956807
Snhg6,1.72802022487261,-6.25511800663744e-08,0.00144269440653596,0.944839208599503,0.997557484956807
Tcf24,0,NA,NA,NA,NA
Ppp1r42,0.554797662861734,1.54748638760613e-07,0.00144269490946401,0.831261550084623,0.997557484956807
Gm15818,0,NA,NA,NA,NA
Cops5,17.2052398084223,-2.55422682074438e-06,0.00144268863443878,0.279214024337738,0.997557484956807
Cspp1,83.8352502193563,-2.25696120371776e-07,0.00144267051351604,0.956288151718166,0.997557484956807
Arfgef1,79.8836323943733,-6.86936653877199e-06,0.00144267488677993,0.128275617816129,0.997557484956807
Cpa6,6.90446052835389,-3.77346080079907e-07,0.00144269394576023,0.662900753148535,0.997557484956807
Prex2,39.6738571408531,-5.2660001534466e-07,0.00144268255699594,0.860877385526306,0.997557484956807
A830018L16Rik,63.6237608462641,2.73839536427605e-06,0.00144268593239394,0.324950809729228,0.997557484956807
Gm17644,0,NA,NA,NA,NA
Sulf1,85.3144725599741,2.50005542113792e-06,0.00144267604004407,0.512490119171895,0.997557484956807
Slco5a1,5.23128610615398,1.18500482933435e-06,0.00144269348257212,0.291231406168145,0.997557484956807
Gm29283,0,NA,NA,NA,NA
Prdm14,0,NA,NA,NA,NA
Ncoa2,117.724625731421,-9.35015427613394e-07,0.00144265743434875,0.857462895768437,0.997557484956807
Gm29570,0.0921041497366605,2.5117423109851e-08,0.0014426950075306,0.890769192868762,0.997557484956807
Tram1,16.4576447683974,5.18568673477319e-06,0.00144269330435268,0.0160323091728931,0.997557484956807
Lactb2,21.6023020304382,-4.0081046376444e-06,0.00144268942710286,0.627905994806699,0.997557484956807
Xkr9,0,NA,NA,NA,NA
Eya1,175.251284425874,-2.43122431535578e-08,0.00144266003306146,0.893912603924588,0.997557484956807
Gm9947,0.944959411050548,2.01548848387813e-07,0.00144269465682063,0.7105520860083,0.997557484956807
Msc,0.713070518388921,2.42146757934909e-07,0.00144269492345429,0.620998659881506,0.997557484956807
Trpa1,0.524697775803559,3.64748602362538e-07,0.00144269492176242,0.437305321929579,0.997557484956807
Kcnb2,585.6336513903,-3.84680995892677e-06,0.00144267179172801,0.372507815180969,0.997557484956807
Terf1,25.9342018119379,-1.77484948372197e-06,0.00144268719654476,0.462896920117452,0.997557484956807
Sbspon,1.11879397721595,-3.86220154889523e-07,0.00144269455482127,0.560765647757402,0.997557484956807
4930444P10Rik,2.73050262366121,4.96389570517366e-08,0.00144269377601174,0.960012308140821,0.997557484956807
Rpl7,4.03388234096425,8.34314028567451e-07,0.0014426940528497,0.340791978198547,0.997557484956807
Rdh10,10.7931796190263,2.01303152413903e-06,0.00144269159290582,0.239354410928489,0.997557484956807
Gm28095,0.188680820995413,6.29685917780423e-08,0.00144269495994338,0.867918347890617,0.997557484956807
Stau2,101.951278504022,-1.02776821773839e-05,0.0014426892833774,0.0139639083503836,0.997557484956807
Gm7568,1.22061124428086,-2.033213812345e-07,0.00144269439413683,0.771853955795679,0.997557484956807
Ube2w,61.4393897546662,-3.52081195775534e-06,0.00144267384490063,0.39059533433112,0.997557484956807
Eloc,9.62090599976296,-7.79384178114033e-07,0.00144269137134192,0.634986697050979,0.997557484956807
D030040B21Rik,0,NA,NA,NA,NA
Tmem70,5.50905603803793,-5.63963887687907e-07,0.00144269294120009,0.645042826637959,0.997557484956807
Ly96,4.64415613518925,-6.98742705796454e-07,0.00144269283692566,0.588815139603954,0.997557484956807
Gm28376,13.5370272333949,-1.00655394896644e-06,0.00144269220819333,0.495476782882535,0.997557484956807
Jph1,18.6557827987612,-5.80154857194462e-06,0.00144269539207189,0.00269722524963399,0.997557484956807
Gm28783,0,NA,NA,NA,NA
Gdap1,17.1096738392099,1.9345188126656e-06,0.00144268831656549,0.404683020754249,0.997557484956807
Gm28784,0.0673498582045129,-1.36739941389486e-08,0.00144269503298089,0.954780400719744,0.997557484956807
Pi15,1.66034245807748,-6.72502450688035e-07,0.00144269471491096,0.147138645205206,0.997557484956807
Gm28154,4.29780570622983,-2.54667071154387e-07,0.00144269331433,0.821261609188537,0.997557484956807
Gm16070,16.1382307324471,3.33849897018632e-06,0.00144269191724652,0.0899975452971212,0.997557484956807
Crispld1,46.4275533598325,3.16909887479524e-06,0.00144268504150002,0.278145402192233,0.997557484956807
Gm28153,7.4385256052105,9.43014945246285e-07,0.00144269301925729,0.472874460430276,0.997557484956807
Gm28756,3.90361128664228,9.60562166554805e-07,0.0014426939848134,0.309916166112758,0.997557484956807
Crisp4,0,NA,NA,NA,NA
Defb41,0,NA,NA,NA,NA
Gm15825,0.683817276800925,4.06965501868186e-07,0.00144269485148157,0.402084806467154,0.997557484956807
Tfap2d,1.40178114107974,8.54737921764185e-07,0.00144269491752499,0.0647231085605474,0.997557484956807
Tfap2b,3.76730477765002,-4.56365389707595e-07,0.00144269403357216,0.577129745935604,0.997557484956807
Pkhd1,0.752343819698543,1.56171187498515e-07,0.00144269474688844,0.666998987402147,0.997557484956807
4930486I03Rik,0,NA,NA,NA,NA
Gm28653,0,NA,NA,NA,NA
Il17f,0,NA,NA,NA,NA
Mcm3,0.253843745555843,7.53251555360458e-09,0.00144269492998309,0.944950994559821,0.997557484956807
6720483E21Rik,0.617852156418841,-1.41562438608031e-07,0.00144269480635359,0.639702716126915,0.997557484956807
Paqr8,14.0181359456018,-2.65204461227473e-06,0.00144269101681265,0.185583475475535,0.997557484956807
Efhc1,1.32483128734764,-5.86510759661924e-08,0.0014426942478091,0.936836557401261,0.997557484956807
Tram2,6.84459628717812,7.0543330942725e-07,0.00144269217261524,0.632521409070083,0.997557484956807
Tmem14a,2.81336345446044,1.44287291510751e-06,0.00144269404525213,0.156857858404531,0.997557484956807
Gsta3,2.98691864503187,-9.19109131958652e-07,0.00144269375660231,0.383341043554674,0.997557484956807
Gm28836,1.92333297878654,3.46496705411012e-07,0.0014426942741274,0.63763705876577,0.997557484956807
Khdc1a,0,NA,NA,NA,NA
Khdc1c,0,NA,NA,NA,NA
Khdc1b,0,NA,NA,NA,NA
Kcnq5,285.860394517061,3.33209161186421e-06,0.00144269428780493,0.0222853012266,0.997557484956807
Rims1,266.219975489098,4.03258526809325e-06,0.00144267857088681,0.281493230814474,0.997557484956807
Gm29506,0.588771515595758,2.6739443835311e-07,0.00144269496297076,0.60475761070273,0.997557484956807
Gm27028,0,NA,NA,NA,NA
Gm29107,1.66698977504962,-4.92202786763535e-07,0.00144269448754424,0.414464216941823,0.997557484956807
Ogfrl1,11.2393305335287,1.0709412654506e-06,0.00144269092136418,0.549969609033452,0.997557484956807
Gm28822,0.91114027000646,-5.45399712069385e-08,0.00144269472611931,0.926888069903829,0.997557484956807
B3gat2,5.69340665646547,6.30395277704488e-07,0.00144269265272027,0.643399272223696,0.997557484956807
Smap1,43.8038185475615,5.50555390620928e-07,0.0014426783483673,0.87547823900347,0.997557484956807
Sdhaf4,2.09662280292219,1.29888346035882e-06,0.00144269466008969,0.0628278649955351,0.997557484956807
Fam135a,67.5266408028342,-1.503163199964e-07,0.0014426718788714,0.969449142713486,0.997557484956807
Col9a1,0.269978961906189,-1.37092243929629e-07,0.00144269499686429,0.79752278580753,0.997557484956807
Col19a1,17.2361848549328,-6.5042169665077e-07,0.0014426941175792,0.45116550121505,0.997557484956807
Lmbrd1,43.416796509637,-2.53025011606044e-06,0.00144267891756504,0.479044486386926,0.997557484956807
Gm29414,0,NA,NA,NA,NA
Adgrb3,667.737374331112,7.08931023887136e-07,0.00144266966441389,0.870716586170049,0.997557484956807
Gm5524,0,NA,NA,NA,NA
Gm597,0.0460027477513671,-8.97900248154602e-08,0.00144269500894384,0.890770738651298,0.997557484956807
Gm9898,0,NA,NA,NA,NA
Phf3,84.0862798251633,4.01913051274874e-06,0.00144266952595895,0.375944459867364,0.997557484956807
Ptp4a1,0.570099755827208,3.89124600223018e-08,0.0014426947676111,0.929580023422168,0.997557484956807
Ptp4a1.1,0.0673498582045129,-1.36739941389486e-08,0.00144269503298089,0.954780400719744,0.997557484956807
4931428L18Rik,0.167886739783118,-1.18247525107199e-07,0.00144269501270436,0.824061883303557,0.997557484956807
Gm29128,0,NA,NA,NA,NA
Lgsn,0,NA,NA,NA,NA
Khdrbs2,104.715890874472,2.65087302091164e-06,0.00144268306118846,0.391187462841957,0.997557484956807
Gm5415,0.387880782267345,2.41586624884742e-07,0.00144269498767779,0.651700436787101,0.997557484956807
Gm37724,0.0460027477513671,-8.97900248154602e-08,0.00144269500894384,0.890770738651298,0.997557484956807
Gm37591,0,NA,NA,NA,NA
Prim2,16.835840041218,-1.38293098311239e-06,0.00144268761767128,0.553649177940075,0.997557484956807
Rab23,10.6137603905622,-1.29223391154887e-07,0.00144269193202416,0.889528342501084,0.997557484956807
Bag2,2.90648616691539,-1.96296987225993e-06,0.00144269453354638,0.0410342157534134,0.997557484956807
Zfp451,38.4968032929898,5.1141145387097e-06,0.00144268257128037,0.144172732854394,0.997557484956807
Bend6,51.23732855112,-4.12765546707332e-06,0.00144268401964935,0.192177418135941,0.997557484956807
Dst,208.892085806856,-2.16006078836221e-06,0.00144265155720342,0.700789542284634,0.997557484956807
Gm26788,0.889131889709105,1.99923660549699e-07,0.00144269465842007,0.710667105743182,0.997557484956807
Gm37233,0.385201709515071,4.61480608273243e-09,0.00144269503094895,0.938774911781558,0.997557484956807
Ccdc115,1.70144116684018,-6.12195060078718e-07,0.00144269448265374,0.350428351098589,0.997557484956807
Gm28306,0,NA,NA,NA,NA
Imp4,3.19547006314998,-4.78875363659446e-07,0.00144269367198325,0.632915618291019,0.997557484956807
Ptpn18,0.848817704120088,1.01143856328747e-07,0.00144269466587852,0.831026087250335,0.997557484956807
Gm28417,0,NA,NA,NA,NA
4930568A12Rik,0.0482883356293765,1.17675738275907e-07,0.00144269500400136,0.804861582429906,0.997557484956807
Cfc1,0,NA,NA,NA,NA
Prss40,0,NA,NA,NA,NA
1700101I19Rik,0,NA,NA,NA,NA
Amer3,1.03975363073225,4.74382654824485e-08,0.00144269463296357,0.965625819465793,0.997557484956807
Arhgef4,12.7228807126742,-1.31290076257568e-06,0.00144269244671844,0.345861142053133,0.997557484956807
Gm38336,1.00840015540637,5.34063974662072e-07,0.00144269470555881,0.289595113223284,0.997557484956807
Fam168b,26.0269844268664,1.01774531507662e-06,0.00144268537798781,0.702668364886025,0.997557484956807
Plekhb2,12.974385357068,5.52297978237847e-07,0.00144269022065589,0.76602452182007,0.997557484956807
Gm37068,0,NA,NA,NA,NA
Gm28415,0,NA,NA,NA,NA
1110002O04Rik,0.332620535156221,1.7689770307171e-07,0.00144269500524297,0.698997766801745,0.997557484956807
Gm33222,0,NA,NA,NA,NA
Hs6st1,7.01963009729061,4.78131264639147e-07,0.00144269279486799,0.712316538370333,0.997557484956807
Gm37335,0.0544122608748166,-1.42106326162349e-08,0.00144269503316935,0.954780400719745,0.997557484956807
Gm33280,0.341866484814194,2.2866038792856e-07,0.00144269500763393,0.696532279123301,0.997557484956807
Uggt1,27.5077773587761,-4.05026177657288e-06,0.00144268593093675,0.165571489597716,0.997557484956807
Neurl3,0.0482883356293765,1.17675738275907e-07,0.00144269500400136,0.804861582429906,0.997557484956807
Arid5a,2.25957937132572,2.34231655457105e-08,0.00144269422295471,0.97778926481461,0.997557484956807
4930403P22Rik,1.28227581003709,-2.85845933134848e-07,0.00144269444394857,0.682653697592025,0.997557484956807
Kansl3,34.7337881965793,-1.53071241247451e-06,0.00144268140587118,0.627908286399071,0.997557484956807
Fer1l5,0.0673498582045129,-1.36739941389486e-08,0.00144269503298089,0.954780400719744,0.997557484956807
Lman2l,30.2814177692641,5.43918276245122e-06,0.00144268945887755,0.0494224086548461,0.997557484956807
Cnnm4,5.06406421498204,2.55168719564364e-08,0.00144269248306615,0.986406986311175,0.998044540162431
Cnnm3,11.199832852817,-3.33580507727133e-07,0.00144269117476532,0.837912530181798,0.997557484956807
Gm38033,0.0765958078624856,-1.23680766448325e-08,0.00144269503418757,0.954780400719744,0.997557484956807
Ankrd23,2.23136446438718,1.49301399372431e-07,0.00144269392274293,0.870431872461388,0.997557484956807
Ankrd39,3.61303161833527,-1.65104371863209e-06,0.00144269449828615,0.0479944932983182,0.997557484956807
Sema4c,2.36945827990314,7.29111074855276e-07,0.00144269397716753,0.419396982599678,0.997557484956807
D430040D24Rik,0.193153342517506,1.67801996568634e-07,0.0014426950127944,0.621371213712665,0.997557484956807
Fam178b,0.222609967097943,7.00483487342699e-09,0.0014426949602062,0.942484904551463,0.997557484956807
Cox5b,5.52773234527689,-9.57836978657862e-08,0.00144269333881608,0.926308964287765,0.997557484956807
Actr1b,19.5971612240139,-4.05981339351269e-06,0.00144268993687257,0.0894842070225453,0.997557484956807
