gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,43652.3410200461,0.00680281675880167,0.105805429253286,0.920394605959914,0.965888817188473
Gm1992,1883.83447414579,0.0874130170237056,0.140955603446561,0.401122165523462,0.637414254798656
Gm19938,1810.06472716448,0.0675282003339986,0.137319432521709,0.517175400852034,0.733593889375008
Gm37381,3.44133848700369,-0.0307987999839773,0.200422169997521,0.455897160285897,NA
Rp1,20.6186497016842,0.0410911538578082,0.183481543493509,0.624118872280397,0.805141279492065
Sox17,0.719291060521061,0.00294346551113963,0.200737895515709,0.879823060816911,NA
Gm37323,0.973824873505797,-0.00886565208019951,0.200229192812851,0.718478037757126,NA
Mrpl15,716.869270972884,0.180719371303776,0.0970235900898042,0.034478007342764,0.141504883210658
Lypla1,930.992259153214,0.180030582645755,0.113082101335226,0.0649649162714633,0.215541323265046
Tcea1,3085.93536325967,0.0855757408412295,0.0737573216596382,0.211218780879147,0.442091572919266
Rgs20,4643.49196998461,0.575684004416846,0.264658052317086,0.00220383906403118,0.0223116713757665
Gm16041,26.2366799806328,0.109056118298195,0.221464263702916,0.178429171694616,0.401782449472855
Atp6v1h,5345.4855271781,0.134579126785009,0.0939381791593322,0.104402258168924,0.288991996231314
Oprk1,782.246647581141,0.408925641524415,0.181554995101906,0.00350835292091031,0.0308167940220832
Npbwr1,10.4701018012183,-0.0357099192249804,0.196923166952811,0.526921765262668,0.741941727652978
Rb1cc1,6447.49160876926,0.0740733858657083,0.0767355345173172,0.310383497971734,0.551454682162724
4732440D04Rik,581.972550748815,0.0819951311060186,0.168073925665647,0.42827571640238,0.662688218083819
Alkal1,7.290192266582,-0.00361454451183169,0.195676820123856,0.937150713940818,NA
St18,763.166721964297,-0.554098761502617,0.177397887473295,0.00017439034255324,0.00365110408326839
Pcmtd1,6098.58770650402,0.634524629292072,0.18017864749154,3.67624099885383e-05,0.00120160021514083
Gm26901,615.014748328011,0.255561832826149,0.138651699722265,0.0210994896471072,0.103429853187202
Gm30414,1.13536358377538,-0.0224137080938003,0.202468339820951,0.240158665287422,NA
Sntg1,43013.2801847753,-0.00642200173426325,0.118073288769388,0.944559399366336,0.975957495744165
Rrs1,112.727062715254,-0.387581326398922,0.179957726517919,0.00482560259495792,0.0381694129579561
Adhfe1,93.5213218046925,-0.211944472583855,0.285501441703739,0.0713934421201972,0.229218134928694
2610203C22Rik,43.5309695840514,-0.120616692658029,0.230420277622444,0.143190213136554,0.351057112016786
Vxn,122.251915182814,-0.186152985251256,0.189363554551527,0.118312593431516,0.311246810243451
