gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cfap54,2932.4915090124,-1.26628599182335,0.0743383257803144,2.64797631233561e-66,5.03724533895602e-62
Gm17167,294.050111675758,-6.05990491442606,0.366537479734646,6.3815580720226e-62,6.06981896020429e-58
Serhl,151.213783356592,-3.10151445411108,0.211623683875904,7.40950696634042e-50,4.69836836735646e-46
Gm35019,107.525382753716,-3.88699098271484,0.284715816893469,1.3102272092318e-43,6.23111305030411e-40
Ccl27a,344.328344561161,-2.59022579040328,0.224627701898065,4.71108344609421e-32,1.792378807901e-28
Oscar,80.6095781895183,-3.57042393952119,0.331891272639472,8.79133512802142e-28,2.78729280233919e-24
Gm47578,112.11939720263,3.75983336303408,0.373791953480736,5.91875437541544e-25,1.60846377833611e-21
Sav1,1007.83704738267,-1.44095767698182,0.143782905183561,7.02967585209546e-25,1.67156904668015e-21
Bet1,1109.43278207966,-1.61978126508246,0.167189838488756,1.71979712028267e-23,3.6350778465708e-20
Gm20110,95.9755133149082,5.12088637985423,0.53112240494631,8.87566742399271e-23,1.68841821406613e-19
Card10,161.54744513711,-2.0377246107225,0.219258651714597,7.61672051447237e-22,1.31720794860734e-18
Gm26787,211.679354248372,1.56452582414524,0.171179280463036,3.87641333359118e-21,6.14508423707541e-18
Zfp846,1532.93617838701,1.1704469890368,0.133455159539141,1.10215630091993e-19,1.61279379326152e-16
9230109A22Rik,47.9188735643036,-3.39852757988,0.392983194244967,3.14661471338948e-19,4.27557512091487e-16
Gm2762,172.460994520366,-2.59609120233119,0.303020162873582,5.10184618236313e-19,6.47016132847292e-16
Gm48479,39.1692333842043,-3.35342270792853,0.391262070658327,6.47248464311641e-19,7.69537971037522e-16
Lims2,55.2710219415706,-2.74056423003992,0.32631690209336,3.6311019167746e-18,4.06320304487077e-15
Ntn1,1042.93348313807,1.82133174332261,0.224539352858486,2.69505369552666e-17,2.84822258055576e-14
Gm46515,264.871720809376,-1.12200378850103,0.138809257075001,3.96974271911854e-17,3.97454819714694e-14
Gm45356,83.8003988499199,-2.47243457784957,0.310509221238571,8.88309370352859e-17,8.44915457611122e-14
4930544F09Rik,72.6143977735114,-2.83016690727019,0.356782909493099,1.12981107474152e-16,1.02344743213371e-13
Gm16835,833.530880915019,-0.882250114781793,0.115424279368878,1.72801260053093e-15,1.49418107726818e-12
Gm41361,1107.086851289,-0.676522103910564,0.0886282051357987,2.13884539349737e-15,1.76901112697828e-12
Pax1,34.5199308539578,-3.64602869474786,0.484277493321837,5.20700083456502e-15,4.1271990364971e-12
Gm35835,365.24747202609,1.43839179341839,0.19374039767023,6.22825562798212e-15,4.73920427244416e-12
Gm12576,268.487322220015,1.75849896663126,0.240481252732679,1.4287451827406e-14,1.04534690812594e-11
Sbspon,160.97761000537,-1.69509272874569,0.235066186916345,2.99227792960335e-14,2.10822603906832e-11
Zfp641,1069.18522254529,0.731632464875002,0.101782166670748,5.79534522663668e-14,3.93731615165391e-11
Samd11,294.312681065543,-1.37249295433771,0.194663135325641,9.99652162130748e-14,6.55737347593559e-11
4921515E04Rik,28.1134616636288,-2.71650683011477,0.386802949863179,1.42617524546879e-13,9.04337723151761e-11
Zfp990,49.7080495226121,-4.99522201466356,0.706681709451196,1.55949905065654e-13,9.2707345126998e-11
Ston2,442.109004674673,1.00692971310906,0.143624097704547,1.54437162756784e-13,9.2707345126998e-11
Gm12068,256.498764670481,1.80307589590463,0.265336621296426,5.30558826743541e-13,3.05843047307345e-10
Gpr149,2244.17082120051,1.2699743588925,0.187959647960418,8.34919422193074e-13,4.53790633382253e-10
Lynx1,1528.83346249958,-0.812300688238172,0.119546757746895,8.19949028398536e-13,4.53790633382253e-10
Gm49289,23.3304809635806,-3.37174723551962,0.495304818075648,1.0471833727162e-12,5.53349147199453e-10
Col15a1,226.676343449564,-1.57694052341631,0.237135855260954,1.47379334871649e-12,7.57728942503617e-10
Gm3417,97.2952206980873,-1.8485302619665,0.281651267334366,2.59564443441937e-12,1.29939326515683e-09
C030047K22Rik,479.587499726019,-1.23468027070759,0.188218052141062,3.0731455357267e-12,1.49898583400331e-09
Dnaic1,175.387304114921,-1.06588707786582,0.162623619462652,3.50690650450943e-12,1.62711908378739e-09
Fam107a,62.8822720223399,-1.76320579776949,0.26954930890361,3.44417603317192e-12,1.62711908378739e-09
Pcdhga6,145.412565076141,-1.17558555670294,0.179803050875229,3.89232913744666e-12,1.76294707575352e-09
Gm4651,218.988189667924,1.60567090318199,0.247092420381758,4.34858795840833e-12,1.88007247120004e-09
Ern2,64.7092165983726,-1.72767710663176,0.265800397829308,4.25900654088288e-12,1.88007247120004e-09
Pde1a,16258.8636599325,0.766663642904044,0.11697727132255,4.6032094278873e-12,1.94593006548222e-09
Vmn1r206,49.8065187891835,3.33454689077919,0.508700576153801,4.79668214690792e-12,1.98363661914412e-09
Sox2ot,21096.42939986,0.537029266691217,0.0814869527059852,5.83078819094122e-12,2.35998050545266e-09
4933409K07Rik,30.1385613877033,-9.21720130073367,2.83840741553427,7.38720797955151e-12,2.92764286239601e-09
Zfp712,236.698175434426,1.08203347652529,0.168234183684853,8.19426092724725e-12,3.18121276773519e-09
Gm29088,256.669534146211,-1.31211515831797,0.205907490070673,1.02975998163478e-11,3.84100473149772e-09
Magi1,18324.0570309989,-0.64933418083895,0.100531979137253,1.01616415835632e-11,3.84100473149772e-09
