gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,33.6804628715353,2.21886070309708e-06,0.00144268076076317,0.489769894037008,0.999980541016942
Gm1992,0.815638429278991,-2.99378515574595e-07,0.00144269456378638,0.626401334663449,0.999980541016942
Gm19938,2.18480786387231,5.59649865923027e-07,0.00144269396009272,0.627085290323085,0.999980541016942
Gm37381,0,NA,NA,NA,NA
Rp1,0.117098437756608,1.29795171238849e-07,0.00144269500549627,0.822478847213434,0.999980541016942
Sox17,0.305013233976207,1.43750854065164e-07,0.00144269499645305,0.804626030997607,0.999980541016942
Gm37323,0.054699753370396,5.30885784979143e-09,0.00144269503255495,0.995103746989847,0.999980541016942
Mrpl15,12.1450491866514,-2.688060387701e-06,0.00144268963972204,0.21852674569581,0.999980541016942
Lypla1,32.1657299442919,1.58029476930654e-06,0.00144267719853427,0.66343184701435,0.999980541016942
Tcea1,59.0769384316367,-2.06281759523972e-06,0.00144267214438684,0.616166940169032,0.999980541016942
Rgs20,23.0594362168735,-8.42108793392864e-07,0.00144269031365727,0.650828774749671,0.999980541016942
Gm16041,0,NA,NA,NA,NA
Atp6v1h,66.2600724401266,-1.38815053686731e-06,0.00144266777078735,0.755004357657919,0.999980541016942
Oprk1,0.46118877810289,-9.58186262241139e-08,0.00144269483142646,0.762781145177644,0.999980541016942
Npbwr1,0,NA,NA,NA,NA
Rb1cc1,116.035986924191,-3.21213612316e-06,0.0014426693213988,0.46993579464324,0.999980541016942
4732440D04Rik,32.9876999351896,-3.51385015633749e-06,0.00144268188790698,0.289576527944525,0.999980541016942
Alkal1,0.79714260937303,-6.18241353822983e-08,0.00144269465406923,0.909888628174225,0.999980541016942
St18,79.6692994757121,1.40506882350423e-06,0.00144269127179273,0.417765418528869,0.999980541016942
Pcmtd1,141.946926917772,-9.2654821369272e-06,0.00144265317071922,0.147529881402741,0.999980541016942
Gm26901,1.48744317557929,-4.25937058311816e-07,0.00144269410016994,0.617034036759515,0.999980541016942
Gm30414,0,NA,NA,NA,NA
Sntg1,23.8185178432064,-1.15939981438373e-06,0.00144268511956382,0.974922084460329,0.999980541016942
Rrs1,3.43244402313134,-1.67095078386432e-06,0.00144269371293031,0.147933649740119,0.999980541016942
Adhfe1,41.6813706778769,-4.14103057217616e-06,0.00144267865959686,0.26777061787152,0.999980541016942
2610203C22Rik,5.90205019560518,-3.69067526416932e-07,0.00144269249008927,0.784490231692767,0.999980541016942
Vxn,1.62547167394708,-7.71214619961844e-08,0.0014426945817519,0.896160967080699,0.999980541016942
Mybl1,3.30480036341935,-6.08925606100027e-07,0.0014426931825201,0.601728906566095,0.999980541016942
Vcpip1,24.6474417519911,3.55167029763099e-06,0.00144268509277766,0.232014712734654,0.999980541016942
1700034P13Rik,0.714271208104657,1.62502370983711e-07,0.00144269476451024,0.755244418757381,0.999980541016942
Sgk3,28.6501487072014,3.08366131365467e-07,0.00144268381387743,0.915043040105082,0.999980541016942
Mcmdc2,0.89721155775619,-3.83952127149861e-07,0.00144269465887934,0.484612428490072,0.999980541016942
Snhg6,1.5775446300439,-1.31405944403923e-07,0.00144269396703827,0.879685439300501,0.999980541016942
Tcf24,0.769773445310158,-3.14684475135268e-07,0.00144269470389144,0.538761814897446,0.999980541016942
Ppp1r42,0.603872436838056,1.60354552334232e-07,0.00144269475931138,0.742415403348971,0.999980541016942
Gm15818,0,NA,NA,NA,NA
Cops5,26.1681569131729,-3.93539443439168e-06,0.0014426854801216,0.203120905669333,0.999980541016942
Cspp1,97.2888840921972,2.1621964817569e-06,0.00144265589004749,0.688117451171522,0.999980541016942
Arfgef1,99.7968275114931,-2.74614567525126e-06,0.00144265069519482,0.631893076560646,0.999980541016942
Cpa6,0.484925381713438,-1.79716250286707e-08,0.00144269487350622,0.952844376356653,0.999980541016942
Prex2,249.717414397365,-6.08701760286339e-06,0.00144264740260985,0.329488969675482,0.999980541016942
A830018L16Rik,3.64068962768051,-3.02047596996679e-08,0.00144269322836935,0.9749891027457,0.999980541016942
Gm17644,0,NA,NA,NA,NA
Sulf1,186.037809401455,1.29578679945432e-06,0.00144265390794465,0.813726270424506,0.999980541016942
Slco5a1,0.801411226422132,-4.86163412142971e-07,0.00144269466722941,0.709091851578963,0.999980541016942
Gm29283,0,NA,NA,NA,NA
Prdm14,0,NA,NA,NA,NA
Ncoa2,159.810220793298,9.70918303951057e-07,0.00144263946871048,0.879283501709635,0.999980541016942
Gm29570,0.741367503439507,6.8584342328212e-07,0.00144269493996032,0.112790354123188,0.999980541016942
Tram1,26.3261128031121,1.12786889298384e-06,0.00144267905323686,0.742735117160405,0.999980541016942
Lactb2,28.491243191428,1.21297864125721e-07,0.00144268214301575,0.956445950717453,0.999980541016942
Xkr9,0,NA,NA,NA,NA
Eya1,811.002208349269,-8.67412423217171e-07,0.00144264355694889,0.885390865738114,0.999980541016942
Gm9947,3.44485491512846,-1.30946731868669e-06,0.00144269365580115,0.233369870953536,0.999980541016942
Msc,1.95181926181346,-3.83212726347743e-07,0.0014426940875352,0.652198744227264,0.999980541016942
Trpa1,1.21625357243195,-7.44210987300416e-07,0.00144269444651407,0.299269708545056,0.999980541016942
Kcnb2,13.2956087396666,-1.34540773662654e-06,0.00144269199349781,0.387016409199338,0.999980541016942
Terf1,33.6915545959413,-4.15439853498486e-06,0.00144268072434801,0.238947021026239,0.999980541016942
Sbspon,1.41962635520388,1.76137917398606e-06,0.00144269495748629,0.0429041885159258,0.999980541016942
4930444P10Rik,0.630146617024971,5.85914385702152e-07,0.00144269492574444,0.175338453253253,0.999980541016942
Rpl7,7.02671378031599,-2.70545688114344e-07,0.00144269087634275,0.874571690495973,0.999980541016942
Rdh10,25.1611599614973,1.73208422175551e-06,0.00144268806100697,0.457569825933838,0.999980541016942
Gm28095,0.200668723406711,8.20418492732943e-08,0.00144269495371427,0.780893212568374,0.999980541016942
Stau2,74.5301157750878,-1.02888729852872e-05,0.00144268539731457,0.0224435943042658,0.999980541016942
Gm7568,0.602289985065503,-1.83390179674003e-07,0.00144269480270866,0.741817852602333,0.999980541016942
Ube2w,84.3781464055555,4.19553860309118e-06,0.00144265962388418,0.426900907315328,0.999980541016942
Eloc,17.2377271265511,-2.65923458130665e-06,0.00144268558011911,0.337204280806155,0.999980541016942
D030040B21Rik,0.054699753370396,5.30885784979143e-09,0.00144269503255495,0.995103746989847,0.999980541016942
Tmem70,7.91661551352913,7.20194546616364e-09,0.00144269021094151,0.998400674904638,0.999980541016942
Ly96,10.3437792614328,-2.41245267260312e-06,0.001442690989812,0.206273818936314,0.999980541016942
Gm28376,24.3312227222225,-3.92400543509635e-06,0.00144268530933546,0.189216237939721,0.999980541016942
Jph1,46.1816181701839,8.1144738685895e-07,0.00144267985100724,0.808753457404016,0.999980541016942
Gm28783,0,NA,NA,NA,NA
Gdap1,2.09319844054108,4.89887777323372e-07,0.00144269406371085,0.572976128966657,0.999980541016942
Gm28784,0,NA,NA,NA,NA
Pi15,0.502591978068557,1.22682713480611e-07,0.00144269486238476,0.758294347826427,0.999980541016942
Gm28154,0.452397462687018,2.04125636675097e-07,0.00144269487588897,0.541939196946457,0.999980541016942
Gm16070,1.56672770938239,-4.8177240673236e-07,0.00144269436272047,0.512016780939642,0.999980541016942
Crispld1,2.55104051060323,5.46307847991201e-07,0.00144269374453066,0.577945867344169,0.999980541016942
Gm28153,0.407347696290906,1.14071154009609e-07,0.00144269481044282,0.794280715216283,0.999980541016942
Gm28756,0.116213369967402,2.05693051535862e-07,0.00144269501141169,0.679419961399,0.999980541016942
Crisp4,0,NA,NA,NA,NA
Defb41,0,NA,NA,NA,NA
Gm15825,0.19977480211096,1.0313920132019e-08,0.00144269495398305,0.99465320723096,0.999980541016942
Tfap2d,0.0916689427063064,1.51790709357775e-07,0.00144269500901391,0.719776201799213,0.999980541016942
Tfap2b,14.3400099117683,-5.04526909305047e-07,0.00144269165152565,0.748958161734313,0.999980541016942
Pkhd1,7.55330980423661,1.28587173575803e-06,0.00144269322174966,0.305142746018931,0.999980541016942
4930486I03Rik,0.5444704176306,1.5377552884389e-07,0.0014426948528356,0.692111517044044,0.999980541016942
Gm28653,0.102664413652263,9.54668234704415e-10,0.00144269503219067,0.995104047463579,0.999980541016942
Il17f,0,NA,NA,NA,NA
Mcm3,0.187477336370857,1.66972192739352e-07,0.00144269501383694,0.636084169644594,0.999980541016942
6720483E21Rik,0.0971103884586972,1.52305207521883e-08,0.00144269496471212,0.995097081760449,0.999980541016942
