gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ankfn1,31.5472485413291,-1.44228541509921e-05,0.00144272761299808,7.92756317999094e-14,1.68619268838407e-09
Gm42397,37.4951963857473,-2.82029918971265,0.513005780094061,1.90243117502831e-09,2.0232355546426e-05
Gm5089,60.3953250834037,-1.87646178930343,0.371340190123309,2.04583038484363e-08,0.000145049374285413
AC149090.1,94.9664966761648,-1.25322558359438,0.265399111133921,9.83980081882068e-08,0.00052323140854079
Clec3b,29.3380981310013,-2.16284102565619,0.495442218185449,5.03703273573475e-07,0.00186022368283822
Slc45a4,29.6089660143745,-1.46540616250683,0.334756241956716,5.24745749742799e-07,0.00186022368283822
Mill2,81.4034685286983,-2.22403625631517e-05,0.00144275297071387,8.9382281688244e-07,0.00271594447358421
Il31ra,54.7383405790298,-1.18570165643375,0.302919116027735,3.54097203752001e-06,0.00941455940475631
Stard9,47.9233885061023,-1.24095303746839,0.337483922406224,8.79325914577869e-06,0.0189525762994948
Gm42743,5.71945385978495,-6.64763983137181e-06,0.0014427007948263,8.91047310742585e-06,0.0189525762994948
4930412C18Rik,5.81014857737,-7.07475429769661e-06,0.00144270147070578,1.20198063964708e-05,0.023241934732085
Gm17167,6.25851067669088,-6.40833027106382e-06,0.00144270009158023,2.48648070180576e-05,0.044072870439507
