gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,274.292896461994,-1.68110683930542e-06,0.00144263064866981,0.804680947362209,0.998371748394539
Gm1992,9.27743229686344,2.17396501077013e-06,0.00144269147369686,0.222927134847205,NA
Gm19938,11.3287739542493,6.00597466497401e-07,0.00144269000024334,0.765407221002883,NA
Gm37381,0,NA,NA,NA,NA
Rp1,0.517838907585389,-1.98400619050214e-07,0.00144269487155571,0.628256689591626,NA
Sox17,0.180824156425749,-1.46424102707677e-07,0.00144269501596153,0.698616537664704,NA
Gm37323,0,NA,NA,NA,NA
Mrpl15,10.9728605479912,-2.89590995188555e-06,0.00144269180294451,0.117335913483144,NA
Lypla1,28.9984934051473,-2.15424346490434e-06,0.0014426833658335,0.472755221994308,0.998371748394539
Tcea1,47.7698702178659,3.90942237874233e-06,0.00144267831741441,0.297023983281793,0.998371748394539
Rgs20,37.3263834062887,-8.73625733085093e-07,0.00144268622115752,0.729131889452771,0.998371748394539
Gm16041,0,NA,NA,NA,NA
Atp6v1h,66.3923906772596,3.86840152838136e-06,0.00144267179936122,0.370898324461014,0.998371748394539
Oprk1,2.64035830959925,-5.26500090541551e-07,0.00144269377513622,0.583467485541354,NA
Npbwr1,0,NA,NA,NA,NA
Rb1cc1,118.029916532127,5.21584218674497e-06,0.00144266284663315,0.312594774641379,0.998371748394539
4732440D04Rik,12.3387337985776,-2.27257894329188e-06,0.00144269071385974,0.244740805036092,NA
Alkal1,0.355648633757477,-1.70751452326831e-07,0.00144269498009686,0.795496958510597,NA
St18,189.645700672639,3.04529794374336e-06,0.00144269183085743,0.107929804590757,0.998371748394539
Pcmtd1,123.998240498639,-2.72437256977392e-06,0.00144265646130416,0.610487434431456,0.998371748394539
Gm26901,5.45027362599538,-4.75379946298726e-08,0.00144269287735264,0.968445474953067,NA
Gm30414,0,NA,NA,NA,NA
Sntg1,232.356440154866,2.60689436171468e-06,0.00144267372190223,0.51900732131857,0.998371748394539
Rrs1,2.77451233201853,4.70353822800104e-08,0.00144269368103395,0.964575357065109,NA
Adhfe1,7.24017725071749,-2.2858397616776e-06,0.00144269310390527,0.111332121620515,NA
