gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,4394.03739647791,-0.0213770522535161,0.0876740461941194,0.607269179193949,0.984790137301186
Gm1992,142.075722902426,0.0139370874571977,0.0916433256211172,0.679028018794282,0.990543586348332
Gm19938,171.328835884823,0.0133911317057961,0.0911847621264127,0.70266204228118,0.991076284343262
Gm37381,0.336178810047212,-0.00158359078467702,0.0975750146874844,0.759576542945614,NA
Rp1,2.32104418438006,0.00525054023405589,0.0974029733870538,0.541095782964957,NA
Sox17,0.231810568229529,-0.00159896557532478,0.0975815313818588,0.6133839568988,NA
Gm37323,0,NA,NA,NA,NA
Mrpl15,106.235198977682,0.0220660263426192,0.0910742164083291,0.566448866211064,0.980228792411074
Lypla1,268.890650431767,0.125344522814268,0.133194912752543,0.0568124655422602,0.503116844127045
Tcea1,581.184263207145,0.082841362989821,0.0888893440371727,0.147890131736207,0.742577329185854
Rgs20,171.765287028261,1.05641491297921,0.369002992253769,0.000144968038003494,0.0104111243813803
Gm16041,1.00835828346921,0.00223396384877035,0.0974922560699562,0.64065848398514,NA
Atp6v1h,734.057351210049,0.00550143406684235,0.0734821628199227,0.897263455737345,0.997364559910023
Oprk1,31.4317766770755,0.0194366939678836,0.0975515287410176,0.389105232537772,0.932668592393041
Npbwr1,1.14982248004315,-2.70280435689089e-05,0.0974245183075564,0.981376049016967,NA
Rb1cc1,1170.2143020952,0.0910137236818523,0.0781684428126872,0.102594470097801,0.649917307605449
4732440D04Rik,112.41418282444,-0.00254528041852817,0.0919045214621204,0.935337995314144,0.997364559910023
Alkal1,0.397424879435826,-0.000209384844945698,0.0975695872445951,0.969368246451039,NA
St18,24977.1322174158,0.000836419410099729,0.0833802887797973,0.926540886139438,0.997364559910023
Pcmtd1,1473.88752977336,0.0526595387914757,0.0807983888829095,0.312315033326552,0.900115602592313
Gm26901,63.2894622364167,-0.0178536267445368,0.0931314337383215,0.588769507232927,0.984176026328438
Gm30414,0.215532256384897,-0.00139467422764844,0.0975812434167123,0.568766051597876,NA
Sntg1,1683.81895095141,0.0472329286578818,0.100627497559716,0.258325665093411,0.871308530550454
