gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gm33948,170.040976986611,-3.03542189270374,0.255860237212563,1.28452985119441e-33,2.19217864404837e-29
Tnni1,242.479056131383,-2.60885957555178,0.222831678244241,8.07229691113917e-33,6.88809095427505e-29
Slpi,133.046113760235,-2.38641830537495,0.231215668425323,4.16392699952303e-26,2.368719272462e-22
7630403G23Rik,479.873734196563,-2.13488082693232,0.219274162096315,8.90407521530486e-24,3.79892369060982e-20
Sav1,403.044950897252,-1.64007997601051,0.178175287930887,1.85720242700155e-21,6.3390033238417e-18
Ston2,514.603022490267,1.08768334957934,0.120760634483715,1.0927651901897e-20,2.66416153368248e-17
9330111N05Rik,2377.69668726519,-2.02800234282024,0.224983982017698,9.9576054269654e-21,2.66416153368248e-17
4930592A05Rik,33.7145515101101,-3.56883179090351,0.397711901287248,2.59076493023881e-20,5.52674928743193e-17
Ccdc61,47.1321981633161,-3.70098036931504,0.426768173219013,2.81011281527437e-19,5.3285983672747e-16
Gm48742,520.216678866507,1.78181141104031,0.231728331844402,7.34045768531313e-16,1.25272250857554e-12
Cfap54,148.047843784837,-1.46375006796165,0.198566387301037,7.7360296101219e-15,1.20020983023946e-11
Lpcat2,202.260130020851,-2.39020222821948,0.326399511106978,9.56993608269606e-15,1.36100440989409e-11
Npsr1,251.067110301826,-4.21068877065046,0.598060173470218,6.98259752718127e-14,9.16653918452889e-11
1700063D05Rik,313.080669275137,1.33922455055247,0.192108611646674,1.59059380112352e-13,1.93212540859861e-10
Tmem117,4772.89443619747,-0.777155594417484,0.111560959127446,1.69822343425403e-13,1.93212540859861e-10
Kank1,348.395059503197,1.07194263383511,0.155501541827747,2.83827719290546e-13,3.02737741088278e-10
Gxylt1,348.30092467576,-0.828624509809742,0.121103006556951,4.14809698866976e-13,4.16420136521401e-10
Gm49906,56.2809230012157,3.46598334880063,0.523676331244012,1.54942984733306e-12,1.46903165414367e-09
BC051408,139.579399773226,-2.12753202271354,0.322760963149917,1.79754348400995e-12,1.61457247884809e-09
Tmem163,369.955838761946,-1.28144280077972,0.195881488422257,2.67113164056102e-12,2.07206966262793e-09
Gm47578,29.9379854243146,5.8416218623982,0.825320159410135,2.55737326505784e-12,2.07206966262793e-09
Gm49375,85.783981802271,-1.87300845323031,0.285648499002518,2.53096487008311e-12,2.07206966262793e-09
Galnt6,757.266617528916,-1.1695214853321,0.179188384858283,3.36562088202281e-12,2.49729069446092e-09
Aldh1a1,321.717638929734,-1.37545177551923,0.213788852977879,5.94145529586969e-12,4.22486983663801e-09
Gm15594,159.010814159048,1.50108936548948,0.236419365047524,1.16072247382772e-11,7.92355589533757e-09
Tox3,301.891955498214,1.31240337171799,0.209830528446296,1.96628871113946e-11,1.29064165939638e-08
