gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,2643.42487935373,0.00867565004251615,0.0433125857172508,0.554185514129038,0.998520481049951
Gm1992,84.1843090273903,0.0105617058364379,0.0458750837965465,0.187832537953517,0.998520481049951
Gm19938,107.031956821104,0.000707379903048279,0.0441610024749282,0.935867022264036,0.998520481049951
Gm37381,0,NA,NA,NA,NA
Rp1,1.62126466008653,0.000726478363217064,0.0447599388351937,0.589074797625313,0.998520481049951
Sox17,0,NA,NA,NA,NA
Gm37323,0.326936940419683,0.000520279274473001,0.0447749747938547,0.576433921417602,NA
Mrpl15,39.9853311713457,0.00346892733053256,0.0444451478112333,0.610376969597508,0.998520481049951
Lypla1,102.183839836932,0.0124207986622005,0.0462654580291661,0.18456849731546,0.998520481049951
Tcea1,188.088201196199,0.00397645952481798,0.0435081249767537,0.727418488126039,0.998520481049951
Rgs20,442.34086968064,0.00923322405710021,0.0449137542546184,0.364851889045694,0.998520481049951
Gm16041,2.30736768568971,0.000299832609771466,0.0447348040486861,0.877582482293934,0.998520481049951
Atp6v1h,248.705429987941,-0.00469699734963218,0.0431185457288234,0.713223297538456,0.998520481049951
Oprk1,6.1429678014757,0.00044800211238818,0.0446984512631489,0.864809514073144,0.998520481049951
Npbwr1,0.198540573852674,0.000258962718148945,0.044773067018863,0.842044631502458,NA
Rb1cc1,385.538155006653,-0.00405907515282357,0.0426480462917761,0.758353095864342,0.998520481049951
4732440D04Rik,39.319517503384,-0.00160929642932466,0.0443750770390805,0.789824795729092,0.998520481049951
Alkal1,0.259557482845575,0.000441452066760977,0.0447746272156715,0.564640559323124,NA
St18,537.117113863663,0.004407490986345,0.0445214223280126,0.533617064211117,0.998520481049951
Pcmtd1,487.848123231489,0.0263479582588598,0.0520192549093146,0.117478412149116,0.998520481049951
Gm26901,35.7293393976868,-0.00624055499052408,0.0450254171473104,0.287593358540056,0.998520481049951
Gm30414,0,NA,NA,NA,NA
Sntg1,3898.00747064874,0.0210747920689116,0.0495114359338092,0.134810205425152,0.998520481049951
Rrs1,10.5312078919829,-0.00550635801238914,0.045104016004883,0.164376089775554,0.998520481049951
Adhfe1,27.1546951972647,-0.00782784931767978,0.0453562595122919,0.204011781524031,0.998520481049951
2610203C22Rik,48.2530404952443,0.00833471197280291,0.0454816418165436,0.184919061126998,0.998520481049951
Vxn,371.652705308466,0.00884696959142029,0.0444332004525606,0.427765284213459,0.998520481049951
Mybl1,29.9044185280433,0.00055598808262711,0.0443592962646214,0.928520777580313,0.998520481049951
Vcpip1,91.0852292730735,0.013293416546639,0.0466550953520259,0.157592768312021,0.998520481049951
1700034P13Rik,2.05181160135258,-0.00013441944825044,0.0447401732217707,0.931767956751389,0.998520481049951
Sgk3,178.424641889454,0.0111394207996099,0.044856747293066,0.367094722044426,0.998520481049951
Mcmdc2,12.0739743945306,-0.00358430689924758,0.0448213645604838,0.342416707804849,0.998520481049951
Snhg6,10.3162297495813,-0.00173848400194657,0.0446799853947781,0.644652216804304,0.998520481049951
