gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cfap54,2661.15760121658,-1.27460900601109,0.0773930098825295,-16.575073028323,1.05534642313133e-61,2.06151370294475e-57
Gm17167,286.491471895737,-3.78320451243905,0.192451749851033,-16.39624844118,2.03418336877135e-60,1.98678689627898e-56
Serhl,149.489405247533,-2.39024245027372,0.163466688051639,-14.6793081472418,8.74784479833664e-49,5.6960133430236e-45
Gm35019,100.804659531739,-2.41278468725552,0.185031385020241,-13.966437199229,2.49814665811142e-44,1.21996992048871e-40
Ccl27a,332.782793477649,-1.88588728417598,0.165408037958531,-11.6047182904748,3.89969727263336e-31,1.5235337304724e-27
Oscar,76.4513092550944,-2.39675665429914,0.196340070028655,-10.6098048306607,2.68308933398388e-26,8.73524450834019e-23
Sav1,952.771987952873,-1.25098961841579,0.120612726422057,-10.5897491631797,3.32481582563503e-26,9.27813604827925e-23
Gm47578,105.576149722942,1.85158465944714,0.187664956321528,9.95409331972241,2.42018837093714e-23,5.90949495473575e-20
Bet1,1045.80133760424,-1.34452421960849,0.13628279563008,-9.91079755525833,3.73651375629696e-23,8.10989552394497e-20
Gm20110,91.0172024066365,2.02394753043849,0.200708245697392,9.57792841847006,9.90108586115189e-22,1.93407811211741e-18
Zfp846,1441.77075795619,0.976917321074934,0.112624905438891,9.0945057244367,9.50176692897903e-20,1.68734104718797e-16
Gm26787,201.283099136123,1.16021380709283,0.13372079778771,9.08341524702596,1.05220283881771e-19,1.71281085445543e-16
Card10,149.253269536244,-1.43097950756599,0.166050838756801,-8.88913870367635,6.15844128172184e-19,9.25376861516572e-16
Gm48479,37.0481821211996,-1.55853359811971,0.206639819198968,-8.78293103205265,1.59268840478824e-18,2.22225537850953e-15
9230109A22Rik,46.5609175001336,-1.56281675051744,0.20980370918508,-8.69369508757553,3.50838445679197e-18,4.56885213193162e-15
4930544F09Rik,67.1086860739369,-1.46716365847394,0.201416590554461,-8.62776639387303,6.25616950818586e-18,7.63800094830641e-15
Lims2,52.7060120023422,-1.76858821618594,0.196543432157653,-8.5931754738344,8.45981929123867e-18,9.72083000206212e-15
Ntn1,1021.78222080362,1.16605202271615,0.163354038865618,8.51829204854302,1.61923461515683e-17,1.75722938735964e-14
Gm2762,149.118570029478,-1.36453389846837,0.195379777294198,-8.46208809485219,2.62632000162369e-17,2.70013341640617e-14
Gm45356,80.1938878902746,-1.5142472101647,0.192826199649941,-8.32233320535684,8.62484434809401e-17,8.42388547478342e-14
Gm12576,251.281651337074,1.38335022785461,0.16370017046512,8.08187602625105,6.37779249537349e-16,5.93256183831551e-13
Ston2,386.316568255732,0.909462876052924,0.114616123327143,7.9790134761747,1.47507471612784e-15,1.2527873697757e-12
Gm46515,247.709933562746,-0.922006781865899,0.124575344067215,-7.98436779053928,1.41244311740451e-15,1.2527873697757e-12
Gm16835,783.153101231549,-0.821923352559643,0.101677200065536,-7.95767546764822,1.75301421041104e-15,1.42680748275705e-12
Gm41361,1043.69410629834,-0.623367578793677,0.0808808204187895,-7.73664278103666,1.0207633647229e-14,7.97583662659885e-12
Gm35835,353.37707496875,1.00333668251615,0.144827359831076,7.68556682940656,1.52321067758452e-14,1.14439989907446e-11
Sbspon,154.579475384602,-1.22453041328744,0.16808305583333,-7.58912199471918,3.22080417380386e-14,2.33019217522535e-11
Pax1,32.7539270649765,-1.66480888359876,0.214328455542461,-7.57334444867406,3.63736181738239e-14,2.53757949074099e-11
Samd11,267.871512132401,-1.1896753752784,0.155828685288103,-7.56636647427185,3.83808304058288e-14,2.5852797970602e-11
Gpr149,2017.13783914957,1.06137660410273,0.153319801513407,7.49887206819082,6.4369312179307e-14,4.19130048036861e-11
Zfp641,1020.44694019781,0.695026469887195,0.0919232802377504,7.47950691842636,7.46019846283607e-14,4.70088763783999e-11
Lynx1,1452.90196223442,-0.753413295562252,0.101938216730741,-7.44387137094146,9.77767084301042e-14,5.96865694523017e-11
Gm12068,247.553107271943,1.07897641988829,0.170942177552195,7.41152894259769,1.24851542639634e-13,7.39045464825035e-11
Fam107a,57.6666764158329,-1.23591016867224,0.1802790476736,-7.36865993063486,1.72351684927633e-13,9.90211121581288e-11
Zfp990,47.9015060443325,-1.46497267752161,0.216852081624058,-7.31040117785953,2.66345971796278e-13,1.48651491801957e-10
4921515E04Rik,26.9084375523608,-1.20325165104107,0.208899537467474,-7.2654780260367,3.7172135725953e-13,2.01700138686324e-10
Sox2ot,20652.0033951276,0.525561872765257,0.0742858145150215,7.10276761358236,1.22282929808983e-12,6.45587770510451e-10
Pde1a,15368.9685544087,0.722457041304618,0.104389702453748,7.05611097111059,1.71227102190891e-12,8.80197424788649e-10
Ern2,59.5959417598314,-1.23328182109143,0.18180140568015,-7.03322300780373,2.01816408602677e-12,1.01084146811402e-09
Gm31182,37.3836320595787,-1.33418316634463,0.203567005186148,-7.00069026475364,2.54704475534351e-12,1.243849306272e-09
Zfp712,224.130935965534,0.868502404367056,0.131301643216554,6.96600430421184,3.2606917198188e-12,1.55352078182782e-09
Gm49289,22.2973252871185,-1.50795792741159,0.214468894771345,-6.95351743556197,3.56288893581896e-12,1.65708267791161e-09
